nohup: ignoring input
[PIPELINE] 2026-03-03 15:12:25 Start STaSy full rerun
2026-03-03 15:12:30,228 - INFO - Starting Evaluation on device: cuda
2026-03-03 15:13:18,619 - INFO - Filtered execution to single model: STaSy (ICLR 23)
2026-03-03 15:13:18,619 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 15:13:18,620 - INFO - Evaluating STaSy (ICLR 23)...
2026-03-03 15:13:18,620 - INFO - Training STaSy ...
2026-03-03 15:14:28,098 - INFO - [STaSy] Epoch 5/100 - batch 100/836, loss=2.230941
2026-03-03 15:14:28,482 - INFO - [STaSy] Epoch 5/100 - batch 120/836, loss=1.565057
2026-03-03 15:14:28,866 - INFO - [STaSy] Epoch 5/100 - batch 140/836, loss=2.055204
2026-03-03 15:14:29,243 - INFO - [STaSy] Epoch 5/100 - batch 160/836, loss=2.071553
2026-03-03 15:14:29,625 - INFO - [STaSy] Epoch 5/100 - batch 180/836, loss=1.357690
2026-03-03 15:14:30,013 - INFO - [STaSy] Epoch 5/100 - batch 200/836, loss=2.116357
2026-03-03 15:14:30,407 - INFO - [STaSy] Epoch 5/100 - batch 220/836, loss=1.455835
2026-03-03 15:14:30,783 - INFO - [STaSy] Epoch 5/100 - batch 240/836, loss=1.601343
2026-03-03 15:14:31,159 - INFO - [STaSy] Epoch 5/100 - batch 260/836, loss=1.054494
2026-03-03 15:14:31,536 - INFO - [STaSy] Epoch 5/100 - batch 280/836, loss=1.838366
2026-03-03 15:14:31,913 - INFO - [STaSy] Epoch 5/100 - batch 300/836, loss=0.966370
2026-03-03 15:14:32,295 - INFO - [STaSy] Epoch 5/100 - batch 320/836, loss=1.662512
2026-03-03 15:14:32,676 - INFO - [STaSy] Epoch 5/100 - batch 340/836, loss=3.562321
2026-03-03 15:14:33,052 - INFO - [STaSy] Epoch 5/100 - batch 360/836, loss=2.387709
2026-03-03 15:14:33,428 - INFO - [STaSy] Epoch 5/100 - batch 380/836, loss=2.316812
2026-03-03 15:14:33,812 - INFO - [STaSy] Epoch 5/100 - batch 400/836, loss=1.817641
