nohup: ignoring input
2026-03-03 11:59:34,769 - INFO - Starting Evaluation on device: cuda
2026-03-03 12:00:25,016 - INFO - Filtered execution to single model: TSDiff (ICLR 23)
2026-03-03 12:00:25,016 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 12:00:25,017 - INFO - Evaluating TSDiff (ICLR 23)...
2026-03-03 12:00:25,017 - INFO - Training TSDiff (ICLR 2023) ...
2026-03-03 12:00:54,161 - INFO - [TSDiff] Epoch 5/100 - batch 580/836, loss=0.993327
2026-03-03 12:00:54,316 - INFO - [TSDiff] Epoch 5/100 - batch 600/836, loss=0.983155
2026-03-03 12:00:54,457 - INFO - [TSDiff] Epoch 5/100 - batch 620/836, loss=0.996060
2026-03-03 12:00:54,594 - INFO - [TSDiff] Epoch 5/100 - batch 640/836, loss=0.988857
2026-03-03 12:00:54,726 - INFO - [TSDiff] Epoch 5/100 - batch 660/836, loss=1.025382
2026-03-03 12:00:54,858 - INFO - [TSDiff] Epoch 5/100 - batch 680/836, loss=0.983106
2026-03-03 12:00:54,991 - INFO - [TSDiff] Epoch 5/100 - batch 700/836, loss=0.981649
2026-03-03 12:00:55,121 - INFO - [TSDiff] Epoch 5/100 - batch 720/836, loss=1.006294
2026-03-03 12:00:55,249 - INFO - [TSDiff] Epoch 5/100 - batch 740/836, loss=0.987203
2026-03-03 12:00:55,381 - INFO - [TSDiff] Epoch 5/100 - batch 760/836, loss=1.023699
2026-03-03 12:00:55,512 - INFO - [TSDiff] Epoch 5/100 - batch 780/836, loss=1.011945
2026-03-03 12:00:55,644 - INFO - [TSDiff] Epoch 5/100 - batch 800/836, loss=1.004442
2026-03-03 12:00:55,777 - INFO - [TSDiff] Epoch 5/100 - batch 820/836, loss=0.990337
2026-03-03 12:00:55,884 - INFO - [TSDiff] Epoch 5/100 - batch 836/836, loss=0.985496
2026-03-03 12:00:55,885 - INFO - [TSDiff] Epoch 5/100 - avg_loss=0.999764, batches=836
2026-03-03 12:00:56,028 - INFO - [TSDiff] Epoch 6/100 - batch 20/836, loss=1.000108
2026-03-03 12:00:56,175 - INFO - [TSDiff] Epoch 6/100 - batch 40/836, loss=1.017241
2026-03-03 12:00:56,326 - INFO - [TSDiff] Epoch 6/100 - batch 60/836, loss=1.009784
2026-03-03 12:00:56,482 - INFO - [TSDiff] Epoch 6/100 - batch 80/836, loss=1.020903
2026-03-03 12:00:56,638 - INFO - [TSDiff] Epoch 6/100 - batch 100/836, loss=1.001684
2026-03-03 12:00:56,796 - INFO - [TSDiff] Epoch 6/100 - batch 120/836, loss=0.985986
2026-03-03 12:00:56,950 - INFO - [TSDiff] Epoch 6/100 - batch 140/836, loss=1.027182
2026-03-03 12:00:57,105 - INFO - [TSDiff] Epoch 6/100 - batch 160/836, loss=1.001850
2026-03-03 12:00:57,260 - INFO - [TSDiff] Epoch 6/100 - batch 180/836, loss=1.020250
2026-03-03 12:00:57,415 - INFO - [TSDiff] Epoch 6/100 - batch 200/836, loss=1.014597
2026-03-03 12:00:57,570 - INFO - [TSDiff] Epoch 6/100 - batch 220/836, loss=0.974334
